Model,True_Category,Predicted_Category,Confidence,Match
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.93,0
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.96,0
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,ENGINEERING,ENGINEERING,0.93,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,ERROR,,0
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.86,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.92,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.93,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.94,1
