Model,True_Category,Predicted_Category,Confidence,Match
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.95,0
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.9,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.95,0
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.85,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,ENGINEERING,ENGINEERING,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.98,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.98,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,SALES,0.75,0
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.98,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.98,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,FINANCE,FINANCE,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,ERROR,,0
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.98,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,HR,HR,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.9,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,HR,0.95,0
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,HR,0.0,0
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.85,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
nvidia/nemotron-nano-9b-v2:free,SALES,SALES,0.95,1
