Model,True_Category,Predicted_Category,Confidence,Match
openai/gpt-oss-120b:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.97,0
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.98,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.92,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.98,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.99,1
openai/gpt-oss-120b:free,ENGINEERING,INFORMATION-TECHNOLOGY,0.97,0
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.96,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.98,1
openai/gpt-oss-120b:free,ENGINEERING,ENGINEERING,0.97,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.96,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.98,1
openai/gpt-oss-120b:free,FINANCE,ENGINEERING,0.6,0
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.92,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.92,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.97,1
